0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:51:38 +0530] "GET /mygiftfrontend/resources/images/gift.mp4 HTTP/1.1" 206 17933022
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:51:53 +0530] "GET /mygiftfrontend/ HTTP/1.1" 200 11631
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:51:53 +0530] "GET /mygiftfrontend/resources/images/gift.mp4 HTTP/1.1" 206 17933022
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:51:53 +0530] "GET /mygiftfrontend/resources/images/gift.mp4 HTTP/1.1" 200 18096862
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:52:10 +0530] "GET /mygiftfrontend/ HTTP/1.1" 200 11631
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:52:11 +0530] "GET /mygiftfrontend/resources/images/gift.mp4 HTTP/1.1" 200 18096862
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:52:11 +0530] "GET /mygiftfrontend/resources/images/gift.mp4 HTTP/1.1" 200 18096862
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:52:13 +0530] "GET /mygiftfrontend/aboutus HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:52:17 +0530] "GET /mygiftfrontend/resources/images/gift.mp4 HTTP/1.1" 206 17933022
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:52:17 +0530] "GET /mygiftfrontend/resources/images/gift.mp4 HTTP/1.1" 206 17924830
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:52:41 +0530] "GET /mygiftfrontend/ HTTP/1.1" 200 11631
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:52:41 +0530] "GET /mygiftfrontend/resources/images/gift.mp4 HTTP/1.1" 206 17973982
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:52:41 +0530] "GET /mygiftfrontend/resources/images/gift.mp4 HTTP/1.1" 200 18096862
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:53:21 +0530] "GET /mygiftfrontend/aboutus HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:53:52 +0530] "GET /mygiftfrontend/ HTTP/1.1" 200 11631
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:53:52 +0530] "GET /mygiftfrontend/resources/images/gift.mp4 HTTP/1.1" 206 17933022
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:53:52 +0530] "GET /mygiftfrontend/resources/images/gift.mp4 HTTP/1.1" 200 18096862
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:55:48 +0530] "GET /mygiftfrontend/ HTTP/1.1" 200 11631
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:55:48 +0530] "GET /mygiftfrontend/resources/images/gift.mp4 HTTP/1.1" 206 17933022
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:55:48 +0530] "GET /mygiftfrontend/resources/images/gift.mp4 HTTP/1.1" 200 18096862
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:55:48 +0530] "GET /mygiftfrontend/resources/images/gift.mp4 HTTP/1.1" 206 17818334
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:56:24 +0530] "GET /mygiftfrontend/ HTTP/1.1" 200 11631
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:56:25 +0530] "GET /mygiftfrontend/resources/images/gift.mp4 HTTP/1.1" 200 18096862
0:0:0:0:0:0:0:1 - - [26/Dec/2016:16:56:25 +0530] "GET /mygiftfrontend/resources/images/gift.mp4 HTTP/1.1" 200 18096862
